link,name,price
https://www.maw2wheelers.com/scooter/fascino-125-fi/,FASCINO 125 FI,267900
https://www.maw2wheelers.com/scooter/rayzr-125-fi/,RayZR 125 FI,274900
https://www.maw2wheelers.com/scooter/rayzr-street-rally-125-fi/,RayZR Street Rally 125 FI,299900
https://www.maw2wheelers.com/scooter/nmax-155/,NMAX 155,469900
https://www.maw2wheelers.com/scooter/fascino-113/,FASCINO 113,218900
https://www.maw2wheelers.com/scooter/ray-zr-street-rally/,RAY ZR STREET RALLY 113,220900
https://www.maw2wheelers.com/scooter/ray-z-113/,RAY Z 113,219900
